Reporting Account Name,Cusip,Security Description1,Security Description2,Coupon Rate,Maturity Date,Shares,Base Cost,Base Market Value,Base Unrealized Gain/Loss,Fair Value Hierarchy Level,Fair Value Hierarchy Override,Accrued Interest Income,Total Interest Receivable Market,Holdings As Of Date,Price Date,Acctg Status Update (CDT),Reporting Accounting Status,Holdings Price Base,Holdings Price Local,Price Source,Price Source Description,Price Type Description,5500 Category Description,Asset Category Description,Asset Type Description,Security Type Description,Issue Type Description,Asset Types,Security Type,Issuer Name,S&P Issue Quality Rating,S&P Base LT Rating,S&P Base ST Rating,S&P Ultimate LT Rating,S&P Ultimate ST Rating,S&P Parent LT Rating,S&P Parent ST Rating,S&P Quality Rating - Non GRS,Moody's Issue Quality Rating,Moody's Base LT Rating,Moody's Base ST Rating,Moody's Ultimate LT Rating,Moody's Ultimate ST Rating,Moody's Parent LT Rating,Moody's Parent ST Rating,Moody Quality Rating - Non GRS,Worst Rating,Average Issue Quality Rating,Payment Frequency,Payment Frequency Desc,Income Rate Type Desc,Ticker,Frequency Requirement,Frequency Requirement Desc,Position Type,Security Class Type,Fitch Issue Quality Rating,Fitch Base LT Rating,Fitch Ultimate LT Rating,Fitch Parent LT Rating,Parent Issuer Name,Income Rate Type,Asset Mix Description,BNYM Classification - Segment,Mellon Security ID,ISIN,Sedol,Base Currency Description,Bloomberg Market Sector,Issuer Base Currency
MILL TTF EQ-DIV,20825C104,CONOCOPHILLIPS,,0,,"23,995.00","1,280,978.23","2,700,397.30","1,419,419.07",1.00,NO,0,0,2/29/24,2/29/24,3/6/2024 12:34:41 AM,FINAL,112.54,112.54,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,OIL & GAS,,COMMON,E,S,ConocoPhillips,,A-,A-2,A-,A-2,A-,A-2,NR,,A2,WR,A2,WR,A2,WR,NR,,-,0,INTEREST AT MAT OR NO INTEREST,,COP,D,DAILY,,OIL & GAS,-,A,A,A,ConocoPhillips,,USD EQUITY,EQUITIES,20825C104,US20825C1045,2685717,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,458140100,INTEL CORP,,0.00,,"23,995.00","587,265.30","1,032,984.75","445,719.45",1.00,NO,0.00,0.00,2/29/24,2/29/24,3/6/2024 12:34:41 AM,FINAL,43.05,43.05,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,SEMICONDUCTORS,,COMMON,E,S,Intel Corp,,A-,A-2,A-,A-2,A-,A-2,NR,,A3,P-2,A3,P-2,A3,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,INTC,D,DAILY,,SEMICONDUCTORS,,A-,A-,A-,Intel Corp,,USD EQUITY,EQUITIES,458140100,US4581401001,2463247,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,487836108,KELLANOVA,,0.00,,"25,527.00","1,484,391.71","1,407,814.05","-76,577.66",1.00,NO,0.00,0.00,2/29/24,2/29/24,3/6/2024 12:34:41 AM,FINAL,55.15,55.15,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,FOOD PROCESSING,,COMMON,E,S,Kellanova,,NR,NR,NR,NR,NR,NR,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,K,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,BBB,BBB,BBB,Kellanova,,USD EQUITY,EQUITIES,487836108,US4878361082,2486813,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,594918104,MICROSOFT CORP,,0.00,,"23,995.00","815,783.26","9,925,291.80","9,109,508.54",1.00,NO,0.00,0.00,2/29/24,2/29/24,3/6/2024 12:34:41 AM,FINAL,413.64,413.64,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,SOFTWARE,,COMMON,E,S,Microsoft Corp,,AAA,A-1+,AAA,A-1+,AAA,A-1+,NR,,Aaa,P-1,Aaa,P-1,Aaa,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,MSFT,D,DAILY,,SOFTWARE,,WD,WD,WD,Microsoft Corp,,USD EQUITY,EQUITIES,594918104,US5949181045,2588173,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,842587107,SOUTHERN CO/THE,,0.00,,"23,995.00","1,075,052.40","1,613,663.75","538,611.35",1.00,NO,0.00,0.00,2/29/24,2/29/24,3/6/2024 12:34:41 AM,FINAL,67.25,67.25,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,ELECTRIC,,COMMON,E,S,Southern Co/The,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,P-3,,-,0,INTEREST AT MAT OR NO INTEREST,,SO,D,DAILY,,UTILITIES,-,BBB+,BBB+,BBB+,Southern Co/The,,USD EQUITY,EQUITIES,842587107,US8425871071,2829601,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,742718109,PROCTER & GAMBLE CO/THE,,0.00,,"23,995.00","1,765,337.68","3,813,765.30","2,048,427.62",1.00,NO,0.00,0.00,2/29/24,2/29/24,3/6/2024 12:34:41 AM,FINAL,158.94,158.94,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,COSMETICS/PERSONAL CARE,,COMMON,E,S,Procter & Gamble Co/The,,AA-,A-1+,AA-,A-1+,AA-,A-1+,NR,,Aa3,P-1,Aa3,P-1,Aa3,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,PG,D,DAILY,,COSMTEICS TOILETRIES & HOUSEHOLD PRODUCTS,,,,,Procter & Gamble Co/The,,USD EQUITY,EQUITIES,742718109,US7427181091,2704407,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,744573106,PUBLIC SERVICE ENTERPRISE GROU,,0.00,,"23,995.00","861,510.16","1,497,288.00","635,777.84",1.00,NO,0.00,0.00,2/29/24,2/29/24,3/6/2024 12:34:41 AM,FINAL,62.40,62.40,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,ELECTRIC,,COMMON,E,S,Public Service Enterprise Group Inc,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,PEG,D,DAILY,,UTILITIES,,WD,WD,WD,Public Service Enterprise Group Inc,,USD EQUITY,EQUITIES,744573106,US7445731067,2707677,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,92942W107,WK KELLOGG CO,,0.00,,"6,936.00","99,926.73","101,543.04","1,616.31",1.00,NO,0.00,0.00,2/29/24,2/29/24,3/6/2024 12:34:41 AM,FINAL,14.64,14.64,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,FOOD PROCESSING,,COMMON,E,S,WK Kellogg Co,,,,,,,,,,,,,,,,,,,0,INTEREST AT MAT OR NO INTEREST,,KLG,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,,,,WK Kellogg Co,,USD EQUITY,EQUITIES,92942W107,US92942W1071,BNNJC42,U.S. DOLLAR,Equity,USD
MILLENNIUM TTF MF,922040407,VANGUARD INST TTL STK-INST+,,0.00,,"4,637,481.67","244,656,674.90","407,031,766.44","162,375,091.54",1.00,NO,0.00,0.00,2/29/24,2/29/24,3/6/2024 12:34:41 AM,FINAL,87.77,87.77,T,IDSI,BID,REGISTERED INVESTMENT COMPANIES,EQUITY,US EQUITY INDEX FUNDS (US REGULATED),,COMMON,E,S,Vanguard Group Inc/The,,,,,,,,,,,,,,,,,,,0,INTEREST AT MAT OR NO INTEREST,,VITPX,D,DAILY,,EQUITY FUND,,,,,Vanguard Institutional Index Funds,,USD EQUITY,EQUITIES,922040407,US9220404076,BW9H4Z8,U.S. DOLLAR,Equity,USD
MILLENNIUM TTF MF,922908868,VANGUARD GROWTH INDEX-INST,,0.00,,"29,081.60","5,000,000.00","5,092,188.69","92,188.69",1.00,NO,0.00,0.00,2/29/24,2/29/24,3/6/2024 12:34:41 AM,FINAL,175.10,175.10,T,IDSI,BID,REGISTERED INVESTMENT COMPANIES,EQUITY,US EQUITY INDEX FUNDS (US REGULATED),,COMMON,E,S,Vanguard Group Inc/The,,,,,,,,,,,,,,,,,,,0,INTEREST AT MAT OR NO INTEREST,,VIGIX,D,DAILY,,EQUITY FUND,,,,,Vanguard Index Funds,,USD EQUITY,EQUITIES,922908868,US9229088680,,U.S. DOLLAR,Equity,USD
