Reporting Account Name,Cusip,Security Description1,Security Description2,Coupon Rate,Maturity Date,Shares,Base Cost,Base Market Value,Base Unrealized Gain/Loss,Fair Value Hierarchy Level,Fair Value Hierarchy Override,Accrued Interest Income,Total Interest Receivable Market,Holdings As Of Date,Price Date,Acctg Status Update (CDT),Reporting Accounting Status,Holdings Price Base,Holdings Price Local,Price Source,Price Source Description,Price Type Description,5500 Category Description,Asset Category Description,Asset Type Description,Security Type Description,Issue Type Description,Asset Types,Security Type,Issuer Name,S&P Issue Quality Rating,S&P Base LT Rating,S&P Base ST Rating,S&P Ultimate LT Rating,S&P Ultimate ST Rating,S&P Parent LT Rating,S&P Parent ST Rating,S&P Quality Rating - Non GRS,Moody's Issue Quality Rating,Moody's Base LT Rating,Moody's Base ST Rating,Moody's Ultimate LT Rating,Moody's Ultimate ST Rating,Moody's Parent LT Rating,Moody's Parent ST Rating,Moody Quality Rating - Non GRS,Worst Rating,Average Issue Quality Rating,Payment Frequency,Payment Frequency Desc,Income Rate Type Desc,Ticker,Frequency Requirement,Frequency Requirement Desc,Position Type,Security Class Type,Fitch Issue Quality Rating,Fitch Base LT Rating,Fitch Ultimate LT Rating,Fitch Parent LT Rating,Parent Issuer Name,Income Rate Type,Asset Mix Description,BNYM Classification - Segment,Mellon Security ID,ISIN,Sedol,Base Currency Description,Bloomberg Market Sector,Issuer Base Currency
MILL TTF EQ-DIV,370334104,GENERAL MILLS INC,,0,,"23,995.00","1,138,450.55","1,678,930.15","540,479.60",1.00,NO,0,0,3/31/24,3/28/24,4/3/2024 8:17:11 PM,FINAL,69.97,69.97,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,FOOD PROCESSING,,COMMON,E,S,General Mills Inc,,BBB,A-2,BBB,A-2,BBB,A-2,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,GIS,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,WD,WD,WD,General Mills Inc,,USD EQUITY,EQUITIES,370334104,US3703341046,2367026,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,58933Y105,MERCK & CO INC,,0.00,,"23,995.00","1,022,896.06","3,166,140.25","2,143,244.19",1.00,NO,0.00,0.00,3/31/24,3/28/24,4/3/2024 8:17:11 PM,FINAL,131.95,131.95,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,PHARMACEUTICALS,,COMMON,E,S,Merck & Co Inc,,A+,A-1,A+,A-1,A+,A-1,NR,,A1,P-1,A1,P-1,A1,P-1,,,-,0,INTEREST AT MAT OR NO INTEREST,,MRK,D,DAILY,,DRUGS HOSPITAL MEDICAL & DENTAL SUPPLY,-,WD,WD,WD,Merck & Co Inc,,USD EQUITY,EQUITIES,58933Y105,US58933Y1055,2778844,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,539830109,LOCKHEED MARTIN CORP,,0.00,,"23,995.00","2,903,168.50","10,914,605.65","8,011,437.15",1.00,NO,0.00,0.00,3/31/24,3/28/24,4/3/2024 8:17:11 PM,FINAL,454.87,454.87,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,AEROSPACE/DEFENSE,,COMMON,E,S,Lockheed Martin Corp,,A-,A-2,A-,A-2,A-,A-2,NR,,A2,P-1,A2,P-1,A2,P-1,,,,0,INTEREST AT MAT OR NO INTEREST,,LMT,D,DAILY,,AERO & AIRCRAFT,,A-,A-,A-,Lockheed Martin Corp,,USD EQUITY,EQUITIES,539830109,US5398301094,2522096,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,580135101,MCDONALD'S CORP,,0.00,,"23,995.00","2,442,878.78","6,765,390.25","4,322,511.47",1.00,NO,0.00,0.00,3/31/24,3/28/24,4/3/2024 8:17:11 PM,FINAL,281.95,281.95,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,RETAIL,,COMMON,E,S,McDonald's Corp,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,Baa1,P-2,Baa1,P-2,Baa1,P-2,,,,0,INTEREST AT MAT OR NO INTEREST,,MCD,D,DAILY,,RETAIL TRADE,,WD,WD,WD,McDonald's Corp,,USD EQUITY,EQUITIES,580135101,US5801351017,2550707,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,594918104,MICROSOFT CORP,,0.00,,"23,995.00","815,783.26","10,095,176.40","9,279,393.14",1.00,NO,0.00,0.00,3/31/24,3/28/24,4/3/2024 8:17:11 PM,FINAL,420.72,420.72,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,SOFTWARE,,COMMON,E,S,Microsoft Corp,,AAA,A-1+,AAA,A-1+,AAA,A-1+,NR,,Aaa,P-1,Aaa,P-1,Aaa,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,MSFT,D,DAILY,,SOFTWARE,,WD,WD,WD,Microsoft Corp,,USD EQUITY,EQUITIES,594918104,US5949181045,2588173,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,871829107,SYSCO CORP,,0.00,,"23,995.00","843,299.07","1,947,914.10","1,104,615.03",1.00,NO,0.00,0.00,3/31/24,3/28/24,4/3/2024 8:17:11 PM,FINAL,81.18,81.18,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,FOOD PROCESSING,,COMMON,E,S,Sysco Corp,,BBB,A-2,BBB,A-2,BBB,A-2,NR,,Baa1,P-2,Baa1,P-2,Baa1,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,SYY,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,BBB,BBB,BBB,Sysco Corp,,USD EQUITY,EQUITIES,871829107,US8718291078,2868165,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,98389B100,XCEL ENERGY INC,,0.00,,"23,995.00","724,274.82","1,289,731.25","565,456.43",1.00,NO,0.00,0.00,3/31/24,3/28/24,4/3/2024 8:17:11 PM,FINAL,53.75,53.75,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,ELECTRIC,,COMMON,E,S,Xcel Energy Inc,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,Baa1,P-2,Baa1,P-2,Baa1,P-2,,,,0,INTEREST AT MAT OR NO INTEREST,,XEL,D,DAILY,,UTILITIES,,BBB+,BBB+,BBB+,Xcel Energy Inc,,USD EQUITY,EQUITIES,98389B100,US98389B1008,2614807,U.S. DOLLAR,Equity,USD
MILLENNIUM TTF MF,922040407,VANGUARD INST TTL STK-INST+,,0.00,,"4,660,582.04","246,731,781.00","420,151,471.00","173,419,690.00",1.00,NO,0.00,0.00,3/31/24,3/28/24,4/3/2024 8:17:11 PM,FINAL,90.15,90.15,T,IDSI,BID,REGISTERED INVESTMENT COMPANIES,EQUITY,US EQUITY INDEX FUNDS (US REGULATED),,COMMON,E,S,Vanguard Group Inc/The,,,,,,,,,,,,,,,,,,,0,INTEREST AT MAT OR NO INTEREST,,VITPX,D,DAILY,,EQUITY FUND,,,,,Vanguard Institutional Index Funds,,USD EQUITY,EQUITIES,922040407,US9220404076,BW9H4Z8,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,205887102,CONAGRA BRANDS INC,,0.00,,"23,995.00","628,983.19","711,211.80","82,228.61",1.00,NO,0.00,0.00,3/31/24,3/28/24,4/3/2024 8:17:11 PM,FINAL,29.64,29.64,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,FOOD PROCESSING,,COMMON,E,S,Conagra Brands Inc,,BBB-,A-3,BBB-,A-3,BBB-,A-3,NR,,Baa3,P-3,Baa3,P-3,Baa3,P-3,,,,0,INTEREST AT MAT OR NO INTEREST,,CAG,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,BBB-,BBB-,BBB-,Conagra Brands Inc,,USD EQUITY,EQUITIES,205887102,US2058871029,2215460,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,532457108,ELI LILLY & CO,,0.00,,"23,995.00","1,318,542.85","18,667,150.20","17,348,607.35",1.00,NO,0.00,0.00,3/31/24,3/28/24,4/3/2024 8:17:11 PM,FINAL,777.96,777.96,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,PHARMACEUTICALS,,COMMON,E,S,Eli Lilly & Co,,A+,A-1,A+,A-1,A+,A-1,NR,,A1,P-1,A1,P-1,A1,P-1,,,,0,INTEREST AT MAT OR NO INTEREST,,LLY,D,DAILY,,DRUGS HOSPITAL MEDICAL & DENTAL SUPPLY,,WD,WD,WD,Eli Lilly & Co,,USD EQUITY,EQUITIES,532457108,US5324571083,2516152,U.S. DOLLAR,Equity,USD
