Reporting Account Name,Cusip,Security Description1,Security Description2,Coupon Rate,Maturity Date,Shares,Base Cost,Base Market Value,Base Unrealized Gain/Loss,Fair Value Hierarchy Level,Fair Value Hierarchy Override,Accrued Interest Income,Total Interest Receivable Market,Holdings As Of Date,Price Date,Acctg Status Update (CDT),Reporting Accounting Status,Holdings Price Base,Holdings Price Local,Price Source,Price Source Description,Price Type Description,5500 Category Description,Asset Category Description,Asset Type Description,Security Type Description,Issue Type Description,Asset Types,Security Type,Issuer Name,S&P Issue Quality Rating,S&P Base LT Rating,S&P Base ST Rating,S&P Ultimate LT Rating,S&P Ultimate ST Rating,S&P Parent LT Rating,S&P Parent ST Rating,S&P Quality Rating - Non GRS,Moody's Issue Quality Rating,Moody's Base LT Rating,Moody's Base ST Rating,Moody's Ultimate LT Rating,Moody's Ultimate ST Rating,Moody's Parent LT Rating,Moody's Parent ST Rating,Moody Quality Rating - Non GRS,Worst Rating,Average Issue Quality Rating,Payment Frequency,Payment Frequency Desc,Income Rate Type Desc,Ticker,Frequency Requirement,Frequency Requirement Desc,Position Type,Security Class Type,Fitch Issue Quality Rating,Fitch Base LT Rating,Fitch Ultimate LT Rating,Fitch Parent LT Rating,Parent Issuer Name,Income Rate Type,Asset Mix Description,BNYM Classification - Segment,Mellon Security ID,ISIN,Sedol,Base Currency Description,Bloomberg Market Sector,Issuer Base Currency
MILL TTF EQ-DIV,194162103,COLGATE-PALMOLIVE CO,,0,,"48,932.00","2,676,647.14","4,120,074.40","1,443,427.26",1.00,NO,0,0,1/31/24,1/31/24,2/6/2024 10:42:39 AM,FINAL,84.20,84.20,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,COSMETICS/PERSONAL CARE,,COMMON,E,S,Colgate-Palmolive Co,,AA-,A-1+,AA-,A-1+,AA-,A-1+,NR,,Aa3,P-1,Aa3,P-1,Aa3,P-1,,,,0,INTEREST AT MAT OR NO INTEREST,,CL,D,DAILY,,COSMTEICS TOILETRIES & HOUSEHOLD PRODUCTS,,WD,WD,WD,Colgate-Palmolive Co,,USD EQUITY,EQUITIES,194162103,US1941621039,2209106,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,166764100,CHEVRON CORP,,0.00,,"23,995.00","2,560,383.39","3,537,582.85","977,199.46",1.00,NO,0.00,0.00,1/31/24,1/31/24,2/6/2024 10:42:39 AM,FINAL,147.43,147.43,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,OIL & GAS,,COMMON,E,S,Chevron Corp,,AA-,A-1+,AA-,A-1+,AA-,A-1+,NR,,Aa2,P-1,Aa2,P-1,Aa2,P-1,,,,0,INTEREST AT MAT OR NO INTEREST,,CVX,D,DAILY,,OIL & GAS,,WD,WD,WD,Chevron Corp,,USD EQUITY,EQUITIES,166764100,US1667641005,2838555,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,580135101,MCDONALD'S CORP,,0.00,,"23,995.00","2,442,878.78","7,023,816.40","4,580,937.62",1.00,NO,0.00,0.00,1/31/24,1/31/24,2/6/2024 10:42:39 AM,FINAL,292.72,292.72,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,RETAIL,,COMMON,E,S,McDonald's Corp,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,Baa1,P-2,Baa1,P-2,Baa1,P-2,,,,0,INTEREST AT MAT OR NO INTEREST,,MCD,D,DAILY,,RETAIL TRADE,,WD,WD,WD,McDonald's Corp,,USD EQUITY,EQUITIES,580135101,US5801351017,2550707,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,713448108,PEPSICO INC,,0.00,,"23,995.00","1,929,304.42","4,043,877.35","2,114,572.93",1.00,NO,0.00,0.00,1/31/24,1/31/24,2/6/2024 10:42:39 AM,FINAL,168.53,168.53,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,BEVERAGES,,COMMON,E,S,PepsiCo Inc,,A+,A-1,A+,A-1,A+,A-1,NR,,A1,P-1,A1,P-1,A1,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,PEP,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,WD,WD,WD,PepsiCo Inc,,USD EQUITY,EQUITIES,713448108,US7134481081,2681511,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,742718109,PROCTER & GAMBLE CO/THE,,0.00,,"23,995.00","1,765,337.68","3,770,574.30","2,005,236.62",1.00,NO,0.00,0.00,1/31/24,1/31/24,2/6/2024 10:42:39 AM,FINAL,157.14,157.14,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,COSMETICS/PERSONAL CARE,,COMMON,E,S,Procter & Gamble Co/The,,AA-,A-1+,AA-,A-1+,AA-,A-1+,NR,,Aa3,P-1,Aa3,P-1,Aa3,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,PG,D,DAILY,,COSMTEICS TOILETRIES & HOUSEHOLD PRODUCTS,,,,,Procter & Gamble Co/The,,USD EQUITY,EQUITIES,742718109,US7427181091,2704407,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,744573106,PUBLIC SERVICE ENTERPRISE GROU,,0.00,,"23,995.00","861,510.16","1,391,470.05","529,959.89",1.00,NO,0.00,0.00,1/31/24,1/31/24,2/6/2024 10:42:39 AM,FINAL,57.99,57.99,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,ELECTRIC,,COMMON,E,S,Public Service Enterprise Group Inc,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,PEG,D,DAILY,,UTILITIES,,WD,WD,WD,Public Service Enterprise Group Inc,,USD EQUITY,EQUITIES,744573106,US7445731067,2707677,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,594918104,MICROSOFT CORP,,0.00,,"23,995.00","815,783.26","9,539,932.10","8,724,148.84",1.00,NO,0.00,0.00,1/31/24,1/31/24,2/6/2024 10:42:39 AM,FINAL,397.58,397.58,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,SOFTWARE,,COMMON,E,S,Microsoft Corp,,AAA,A-1+,AAA,A-1+,AAA,A-1+,NR,,Aaa,P-1,Aaa,P-1,Aaa,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,MSFT,D,DAILY,,SOFTWARE,,WD,WD,WD,Microsoft Corp,,USD EQUITY,EQUITIES,594918104,US5949181045,2588173,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,717081103,PFIZER INC,,0.00,,"23,995.00","605,661.52","649,784.60","44,123.08",1.00,NO,0.00,0.00,1/31/24,1/31/24,2/6/2024 10:42:39 AM,FINAL,27.08,27.08,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,PHARMACEUTICALS,,COMMON,E,S,Pfizer Inc,,A,A-1,A,A-1,A,A-1,NR,,A2,P-1,A2,P-1,A2,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,PFE,D,DAILY,,DRUGS HOSPITAL MEDICAL & DENTAL SUPPLY,,A,A,A,Pfizer Inc,,USD EQUITY,EQUITIES,717081103,US7170811035,2684703,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,025537101,AMERICAN ELECTRIC POWER CO INC,,0.00,,"23,995.00","1,154,896.36","1,874,969.30","720,072.94",1.00,NO,0.00,0.00,1/31/24,1/31/24,2/6/2024 10:42:39 AM,FINAL,78.14,78.14,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,ELECTRIC,,COMMON,E,S,American Electric Power Co Inc,,A-,A-2,A-,A-2,A-,A-2,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,P-3,,-,0,INTEREST AT MAT OR NO INTEREST,,AEP,D,DAILY,,UTILITIES,-,BBB,BBB,BBB,American Electric Power Co Inc,,USD EQUITY,EQUITIES,025537101,US0255371017,2026242,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,189054109,CLOROX CO/THE,,0.00,,"23,995.00","2,132,328.84","3,485,273.75","1,352,944.91",1.00,NO,0.00,0.00,1/31/24,1/31/24,2/6/2024 10:42:39 AM,FINAL,145.25,145.25,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,HOUSEHOLD PRODUCTS/WARES,,COMMON,E,S,Clorox Co/The,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,Baa1,P-2,Baa1,P-2,Baa1,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,CLX,D,DAILY,,COSMTEICS TOILETRIES & HOUSEHOLD PRODUCTS,,WD,WD,WD,Clorox Co/The,,USD EQUITY,EQUITIES,189054109,US1890541097,2204026,U.S. DOLLAR,Equity,USD
