Reporting Account Name,Cusip,Security Description1,Security Description2,Coupon Rate,Maturity Date,Shares,Base Cost,Base Market Value,Base Unrealized Gain/Loss,Fair Value Hierarchy Level,Fair Value Hierarchy Override,Accrued Interest Income,Total Interest Receivable Market,Holdings As Of Date,Price Date,Acctg Status Update (CDT),Reporting Accounting Status,Holdings Price Base,Holdings Price Local,Price Source,Price Source Description,Price Type Description,5500 Category Description,Asset Category Description,Asset Type Description,Security Type Description,Issue Type Description,Asset Types,Security Type,Issuer Name,S&P Issue Quality Rating,S&P Base LT Rating,S&P Base ST Rating,S&P Ultimate LT Rating,S&P Ultimate ST Rating,S&P Parent LT Rating,S&P Parent ST Rating,S&P Quality Rating - Non GRS,Moody's Issue Quality Rating,Moody's Base LT Rating,Moody's Base ST Rating,Moody's Ultimate LT Rating,Moody's Ultimate ST Rating,Moody's Parent LT Rating,Moody's Parent ST Rating,Moody Quality Rating - Non GRS,Worst Rating,Average Issue Quality Rating,Payment Frequency,Payment Frequency Desc,Income Rate Type Desc,Ticker,Frequency Requirement,Frequency Requirement Desc,Position Type,Security Class Type,Fitch Issue Quality Rating,Fitch Base LT Rating,Fitch Ultimate LT Rating,Fitch Parent LT Rating,Parent Issuer Name,Income Rate Type,Asset Mix Description,BNYM Classification - Segment,Mellon Security ID,ISIN,Sedol,Base Currency Description,Bloomberg Market Sector,Issuer Base Currency
MILL TTF EQ-DIV,20825C104,CONOCOPHILLIPS,,0,,"23,995.00","1,280,978.23","3,014,251.90","1,733,273.67",1.00,NO,0,0,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,125.62,125.62,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,OIL & GAS,,COMMON,E,S,ConocoPhillips,,A-,A-2,A-,A-2,A-,A-2,NR,,A2,WR,A2,WR,A2,WR,NR,,-,0,INTEREST AT MAT OR NO INTEREST,,COP,D,DAILY,,OIL & GAS,-,A,A,A,ConocoPhillips,,USD EQUITY,EQUITIES,20825C104,US20825C1045,2685717,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,478160104,JOHNSON & JOHNSON,,0.00,,"23,995.00","1,977,490.40","3,469,437.05","1,491,946.65",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,144.59,144.59,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,PHARMACEUTICALS,,COMMON,E,S,Johnson & Johnson,,AAA,A-1+,AAA,A-1+,AAA,A-1+,NR,,Aaa,P-1,Aaa,P-1,Aaa,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,JNJ,D,DAILY,,DRUGS HOSPITAL MEDICAL & DENTAL SUPPLY,,WD,WD,WD,Johnson & Johnson,,USD EQUITY,EQUITIES,478160104,US4781601046,2475833,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,717081103,PFIZER INC,,0.00,,"23,995.00","605,661.52","614,751.90","9,090.38",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,25.62,25.62,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,PHARMACEUTICALS,,COMMON,E,S,Pfizer Inc,,A,A-1,A,A-1,A,A-1,NR,,A2,P-1,A2,P-1,A2,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,PFE,D,DAILY,,DRUGS HOSPITAL MEDICAL & DENTAL SUPPLY,,A,A,A,Pfizer Inc,,USD EQUITY,EQUITIES,717081103,US7170811035,2684703,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,718546104,PHILLIPS 66,,0.00,,"23,995.00","1,550,600.29","3,436,323.95","1,885,723.66",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,143.21,143.21,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,OIL & GAS,,COMMON,E,S,Phillips 66,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,A3,P-2,A3,P-2,A3,P-2,,,,0,INTEREST AT MAT OR NO INTEREST,,PSX,D,DAILY,,OIL & GAS,,,,,Phillips 66,,USD EQUITY,EQUITIES,718546104,US7185461040,B78C4Y8,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,744573106,PUBLIC SERVICE ENTERPRISE GROU,,0.00,,"23,995.00","861,510.16","1,657,574.60","796,064.44",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,69.08,69.08,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,ELECTRIC,,COMMON,E,S,Public Service Enterprise Group Inc,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,PEG,D,DAILY,,UTILITIES,,WD,WD,WD,Public Service Enterprise Group Inc,,USD EQUITY,EQUITIES,744573106,US7445731067,2707677,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,871829107,SYSCO CORP,,0.00,,"23,995.00","843,299.07","1,783,308.40","940,009.33",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,74.32,74.32,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,FOOD PROCESSING,,COMMON,E,S,Sysco Corp,,BBB,A-2,BBB,A-2,BBB,A-2,NR,,Baa1,P-2,Baa1,P-2,Baa1,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,SYY,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,BBB,BBB,BBB,Sysco Corp,,USD EQUITY,EQUITIES,871829107,US8718291078,2868165,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,921946406,VANGUARD HIGH DVD YIELD ETF,,0.00,,"36,370.00","3,999,943.54","4,236,013.90","236,070.36",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,116.47,116.47,T,IDSI,CLOSE,REGISTERED INVESTMENT COMPANIES,EQUITY,US EQUITY INDEX ETF (US REGULATED),,COMMON,E,S,Vanguard Group Inc/The,,,,,,,,,,,,,,,,,,,0,INTEREST AT MAT OR NO INTEREST,,VYM,D,DAILY,,EQUITY FUND,,,,,Vanguard ETF/USA,,USD EQUITY,EQUITIES,921946406,US9219464065,B1HLJ94,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,025537101,AMERICAN ELECTRIC POWER CO INC,,0.00,,"23,995.00","1,154,896.36","2,064,289.85","909,393.49",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,86.03,86.03,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,ELECTRIC,,COMMON,E,S,American Electric Power Co Inc,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,P-3,,-,0,INTEREST AT MAT OR NO INTEREST,,AEP,D,DAILY,,UTILITIES,-,BBB,BBB,BBB,American Electric Power Co Inc,,USD EQUITY,EQUITIES,025537101,US0255371017,2026242,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,194162103,COLGATE-PALMOLIVE CO,,0.00,,"48,932.00","2,676,647.14","4,497,829.44","1,821,182.30",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,91.92,91.92,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,COSMETICS/PERSONAL CARE,,COMMON,E,S,Colgate-Palmolive Co,,A+,A-1,A+,A-1,A+,A-1,NR,,Aa3,P-1,Aa3,P-1,Aa3,P-1,,,,0,INTEREST AT MAT OR NO INTEREST,,CL,D,DAILY,,COSMTEICS TOILETRIES & HOUSEHOLD PRODUCTS,,WD,WD,WD,Colgate-Palmolive Co,,USD EQUITY,EQUITIES,194162103,US1941621039,2209106,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,233331107,DTE ENERGY CO,,0.00,,"23,995.00","1,355,187.96","2,647,128.40","1,291,940.44",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,110.32,110.32,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,ELECTRIC,,COMMON,E,S,DTE Energy Co,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,,,-,0,INTEREST AT MAT OR NO INTEREST,,DTE,D,DAILY,,UTILITIES,-,BBB,BBB,BBB,DTE Energy Co,,USD EQUITY,EQUITIES,233331107,US2333311072,2280220,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,494368103,KIMBERLY-CLARK CORP,,0.00,,"23,995.00","2,206,397.78","3,276,037.35","1,069,639.57",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,136.53,136.53,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,HOUSEHOLD PRODUCTS/WARES,,COMMON,E,S,Kimberly-Clark Corp,,A,A-1,A,A-1,A,A-1,NR,,A2,P-1,A2,P-1,A2,P-1,,,,0,INTEREST AT MAT OR NO INTEREST,,KMB,D,DAILY,,COSMTEICS TOILETRIES & HOUSEHOLD PRODUCTS,,WD,WD,WD,Kimberly-Clark Corp,,USD EQUITY,EQUITIES,494368103,US4943681035,2491839,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,88579Y101,3M CO,,0.00,,"25,527.00","2,442,145.38","2,463,610.77","21,465.39",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,96.51,96.51,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,MISC MANUFACTURER,,COMMON,E,S,3M Co,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,A3,P-2,A3,P-2,A3,P-2,,,,0,INTEREST AT MAT OR NO INTEREST,,MMM,D,DAILY,,DIVERSIFIED MANUFACTURING,,A-,A-,A-,3M Co,,USD EQUITY,EQUITIES,88579Y101,US88579Y1010,2595708,U.S. DOLLAR,Equity,USD
MILLENNIUM TTF MF,922040407,VANGUARD INST TTL STK-INST+,,0.00,,"4,660,582.04","246,731,781.00","401,602,354.47","154,870,573.47",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,86.17,86.17,T,IDSI,BID,REGISTERED INVESTMENT COMPANIES,EQUITY,US EQUITY INDEX FUNDS (US REGULATED),,COMMON,E,S,Vanguard Group Inc/The,,,,,,,,,,,,,,,,,,,0,INTEREST AT MAT OR NO INTEREST,,VITPX,D,DAILY,,EQUITY FUND,,,,,Vanguard Institutional Index Funds,,USD EQUITY,EQUITIES,922040407,US9220404076,BW9H4Z8,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,110122108,BRISTOL-MYERS SQUIBB CO,,0.00,,"23,995.00","1,032,297.40","1,054,340.30","22,042.90",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,43.94,43.94,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,PHARMACEUTICALS,,COMMON,E,S,Bristol-Myers Squibb Co,,A,A-1,A,A-1,A,A-1,NR,,A2,P-1,A2,P-1,A2,P-1,,,,0,INTEREST AT MAT OR NO INTEREST,,BMY,D,DAILY,,DRUGS HOSPITAL MEDICAL & DENTAL SUPPLY,,WD,WD,WD,Bristol-Myers Squibb Co,,USD EQUITY,EQUITIES,110122108,US1101221083,2126335,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,191216100,COCA-COLA CO/THE,,0.00,,"32,999.00","1,265,704.82","2,038,348.23","772,643.41",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,61.77,61.77,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,BEVERAGES,,COMMON,E,S,Coca-Cola Co/The,,A+,A-1,A+,A-1,A+,A-1,NR,,A1,P-1,A1,P-1,A1,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,KO,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,WD,WD,WD,Coca-Cola Co/The,,USD EQUITY,EQUITIES,191216100,US1912161007,2206657,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,487836108,KELLANOVA,,0.00,,"25,527.00","1,484,391.71","1,476,992.22","-7,399.49",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,57.86,57.86,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,FOOD PROCESSING,,COMMON,E,S,Kellanova,,NR,NR,NR,NR,NR,NR,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,K,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,BBB,BBB,BBB,Kellanova,,USD EQUITY,EQUITIES,487836108,US4878361082,2486813,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,314211103,FEDERATED HERMES INC,,0.00,,"23,995.00","618,580.01","788,235.75","169,655.74",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,32.85,32.85,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,DIVERSIFIED FINANCIAL SERVICES,,COMMON,E,S,Federated Hermes Inc,,,,,,,,NR,,,,,,,,,,,0,INTEREST AT MAT OR NO INTEREST,,FHI,D,DAILY,,BANKS,,,,,Federated Hermes Inc,,USD EQUITY,EQUITIES,314211103,US3142111034,2246288,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,458140100,INTEL CORP,,0.00,,"23,995.00","587,265.30","731,127.65","143,862.35",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,30.47,30.47,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,SEMICONDUCTORS,,COMMON,E,S,Intel Corp,,A-,A-2,A-,A-2,A-,A-2,NR,,A3,P-2,A3,P-2,A3,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,INTC,D,DAILY,,SEMICONDUCTORS,,A-,A-,A-,Intel Corp,,USD EQUITY,EQUITIES,458140100,US4581401001,2463247,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,594918104,MICROSOFT CORP,,0.00,,"23,995.00","815,783.26","9,341,973.35","8,526,190.09",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,389.33,389.33,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,SOFTWARE,,COMMON,E,S,Microsoft Corp,,AAA,A-1+,AAA,A-1+,AAA,A-1+,NR,,Aaa,P-1,Aaa,P-1,Aaa,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,MSFT,D,DAILY,,SOFTWARE,,WD,WD,WD,Microsoft Corp,,USD EQUITY,EQUITIES,594918104,US5949181045,2588173,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,713448108,PEPSICO INC,,0.00,,"23,995.00","1,929,304.42","4,220,960.45","2,291,656.03",1.00,NO,0.00,0.00,4/30/24,4/30/24,5/5/2024 11:00:00 PM,FINAL,175.91,175.91,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,BEVERAGES,,COMMON,E,S,PepsiCo Inc,,A+,A-1,A+,A-1,A+,A-1,NR,,A1,P-1,A1,P-1,A1,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,PEP,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,WD,WD,WD,PepsiCo Inc,,USD EQUITY,EQUITIES,713448108,US7134481081,2681511,U.S. DOLLAR,Equity,USD
