Reporting Account Name,Cusip,Security Description1,Security Description2,Coupon Rate,Maturity Date,Shares,Base Cost,Base Market Value,Base Unrealized Gain/Loss,Fair Value Hierarchy Level,Fair Value Hierarchy Override,Accrued Interest Income,Total Interest Receivable Market,Holdings As Of Date,Price Date,Acctg Status Update (CDT),Reporting Accounting Status,Holdings Price Base,Holdings Price Local,Price Source,Price Source Description,Price Type Description,5500 Category Description,Asset Category Description,Asset Type Description,Security Type Description,Issue Type Description,Asset Types,Security Type,Issuer Name,S&P Issue Quality Rating,S&P Base LT Rating,S&P Base ST Rating,S&P Ultimate LT Rating,S&P Ultimate ST Rating,S&P Parent LT Rating,S&P Parent ST Rating,S&P Quality Rating - Non GRS,Moody's Issue Quality Rating,Moody's Base LT Rating,Moody's Base ST Rating,Moody's Ultimate LT Rating,Moody's Ultimate ST Rating,Moody's Parent LT Rating,Moody's Parent ST Rating,Moody Quality Rating - Non GRS,Worst Rating,Average Issue Quality Rating,Payment Frequency,Payment Frequency Desc,Income Rate Type Desc,Ticker,Frequency Requirement,Frequency Requirement Desc,Position Type,Security Class Type,Fitch Issue Quality Rating,Fitch Base LT Rating,Fitch Ultimate LT Rating,Fitch Parent LT Rating,Parent Issuer Name,Income Rate Type,Asset Mix Description,BNYM Classification - Segment,Mellon Security ID,ISIN,Sedol,Base Currency Description,Bloomberg Market Sector,Issuer Base Currency
MILL TTF EQ-DIV,166764100,CHEVRON CORP,,0,,"23,995.00","2,560,383.39","3,753,297.90","1,192,914.51",1.00,NO,0,0,6/30/24,6/28/24,7/4/2024 8:08:05 PM,FINAL,156.42,156.42,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,OIL & GAS,,COMMON,E,S,Chevron Corp,,AA-,A-1+,AA-,A-1+,AA-,A-1+,NR,,Aa2,P-1,Aa2,P-1,Aa2,P-1,,,,0,INTEREST AT MAT OR NO INTEREST,,CVX,D,DAILY,,OIL & GAS,,WD,WD,WD,Chevron Corp,,USD EQUITY,EQUITIES,166764100,US1667641005,2838555,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,487836108,KELLANOVA,,0.00,,"25,527.00","1,484,391.71","1,472,397.36","-11,994.35",1.00,NO,0.00,0.00,6/30/24,6/28/24,7/4/2024 8:08:05 PM,FINAL,57.68,57.68,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,FOOD PROCESSING,,COMMON,E,S,Kellanova,,NR,NR,NR,NR,NR,NR,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,K,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,BBB,BBB,BBB,Kellanova,,USD EQUITY,EQUITIES,487836108,US4878361082,2486813,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,713448108,PEPSICO INC,,0.00,,"23,995.00","1,929,304.42","3,957,495.35","2,028,190.93",1.00,NO,0.00,0.00,6/30/24,6/28/24,7/4/2024 8:08:05 PM,FINAL,164.93,164.93,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,BEVERAGES,,COMMON,E,S,PepsiCo Inc,,A+,A-1,A+,A-1,A+,A-1,NR,,A1,P-1,A1,P-1,A1,P-1,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,PEP,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,WD,WD,WD,PepsiCo Inc,,USD EQUITY,EQUITIES,713448108,US7134481081,2681511,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,718546104,PHILLIPS 66,,0.00,,"23,995.00","1,550,600.29","3,387,374.15","1,836,773.86",1.00,NO,0.00,0.00,6/30/24,6/28/24,7/4/2024 8:08:05 PM,FINAL,141.17,141.17,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,OIL & GAS,,COMMON,E,S,Phillips 66,,BBB+,A-2,BBB+,A-2,BBB+,A-2,NR,,A3,P-2,A3,P-2,A3,P-2,,,,0,INTEREST AT MAT OR NO INTEREST,,PSX,D,DAILY,,OIL & GAS,,,,,Phillips 66,,USD EQUITY,EQUITIES,718546104,US7185461040,B78C4Y8,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,89417E109,TRAVELERS COS INC/THE,,0.00,,"23,995.00","1,966,862.79","4,879,143.30","2,912,280.51",1.00,NO,0.00,0.00,6/30/24,6/28/24,7/4/2024 8:08:05 PM,FINAL,203.34,203.34,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,INSURANCE,,COMMON,E,S,Travelers Cos Inc/The,,A,A-1,A,A-1,A,A-1,NR,,A2,P-1,A2,P-1,A2,P-1,,,,0,INTEREST AT MAT OR NO INTEREST,,TRV,D,DAILY,,INSURANCE,,A+,A+,A+,Travelers Cos Inc/The,,USD EQUITY,EQUITIES,89417E109,US89417E1091,2769503,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,110122108,BRISTOL-MYERS SQUIBB CO,,0.00,,"23,995.00","1,032,297.40","996,512.35","-35,785.05",1.00,NO,0.00,0.00,6/30/24,6/28/24,7/4/2024 8:08:05 PM,FINAL,41.53,41.53,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,PHARMACEUTICALS,,COMMON,E,S,Bristol-Myers Squibb Co,,A,A-1,A,A-1,A,A-1,NR,,A2,P-1,A2,P-1,A2,P-1,,,,0,INTEREST AT MAT OR NO INTEREST,,BMY,D,DAILY,,DRUGS HOSPITAL MEDICAL & DENTAL SUPPLY,,WD,WD,WD,Bristol-Myers Squibb Co,,USD EQUITY,EQUITIES,110122108,US1101221083,2126335,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,370334104,GENERAL MILLS INC,,0.00,,"23,995.00","1,138,450.55","1,517,923.70","379,473.15",1.00,NO,0.00,0.00,6/30/24,6/28/24,7/4/2024 8:08:05 PM,FINAL,63.26,63.26,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,FOOD PROCESSING,,COMMON,E,S,General Mills Inc,,BBB,A-2,BBB,A-2,BBB,A-2,NR,,Baa2,P-2,Baa2,P-2,Baa2,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,GIS,D,DAILY,,FOOD BEVERAGE & ALLIED PRODUCTS,,WD,WD,WD,General Mills Inc,,USD EQUITY,EQUITIES,370334104,US3703341046,2367026,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,458140100,INTEL CORP,,0.00,,"23,995.00","587,265.30","743,125.15","155,859.85",1.00,NO,0.00,0.00,6/30/24,6/28/24,7/4/2024 8:08:05 PM,FINAL,30.97,30.97,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,SEMICONDUCTORS,,COMMON,E,S,Intel Corp,,A-,A-2,A-,A-2,A-,A-2,NR,,A3,P-2,A3,P-2,A3,P-2,P-3,,,0,INTEREST AT MAT OR NO INTEREST,,INTC,D,DAILY,,SEMICONDUCTORS,,A-,A-,A-,Intel Corp,,USD EQUITY,EQUITIES,458140100,US4581401001,2463247,U.S. DOLLAR,Equity,USD
MILLENNIUM TTF MF,922908868,VANGUARD GROWTH INDEX-INST,,0.00,,"29,156.11","5,013,834.62","5,607,595.41","593,760.79",1.00,NO,0.00,0.00,6/30/24,6/28/24,7/4/2024 8:08:05 PM,FINAL,192.33,192.33,T,IDSI,BID,REGISTERED INVESTMENT COMPANIES,EQUITY,US EQUITY INDEX FUNDS (US REGULATED),,COMMON,E,S,Vanguard Group Inc/The,,,,,,,,,,,,,,,,,,,0,INTEREST AT MAT OR NO INTEREST,,VIGIX,D,DAILY,,EQUITY FUND,,,,,Vanguard Index Funds,,USD EQUITY,EQUITIES,922908868,US9229088680,,U.S. DOLLAR,Equity,USD
MILL TTF EQ-DIV,20825C104,CONOCOPHILLIPS,,0.00,,"23,995.00","1,280,978.23","2,744,548.10","1,463,569.87",1.00,NO,0.00,0.00,6/30/24,6/28/24,7/4/2024 8:08:05 PM,FINAL,114.38,114.38,T,IDSI,CLOSE,CORPORATE STOCK - COMMON,EQUITY,OIL & GAS,,COMMON,E,S,ConocoPhillips,,A-,A-2,A-,A-2,A-,A-2,NR,,A2,WR,A2,WR,A2,WR,NR,,-,0,INTEREST AT MAT OR NO INTEREST,,COP,D,DAILY,,OIL & GAS,-,A,A,A,ConocoPhillips,,USD EQUITY,EQUITIES,20825C104,US20825C1045,2685717,U.S. DOLLAR,Equity,USD
