Reporting Account Name,Cusip,Security Description1,Security Description2,Coupon Rate,Maturity Date,Shares,Base Cost,Base Market Value,Base Unrealized Gain/Loss,Holdings As Of Date,Acctg Status Update (CDT),Price Date,Income Rate Type Desc,Payment Frequency Desc,Issuer Name,Base Issuer Name,Ticker,5500 Category Description,Asset Type Description,S&P Base LT Rating,S&P Parent LT Rating,S&P Ultimate LT Rating,S&P Quality Rating - Non GRS,Moody's Base LT Rating,Moody's Parent LT Rating,Moody's Ultimate LT Rating,Moody Quality Rating - Non GRS,Fitch Base LT Rating,Fitch Base ST Rating,Fitch Parent LT Rating,Fitch Parent ST Rating,Fitch Ultimate LT Rating,Fitch Ultimate ST Rating,Fair Value Hierarchy Level,Frequency Requirement,Frequency Requirement Desc,Income Rate Type,Issue Type Description,Payment Frequency,Price Source,Price Source Description,Price Type Description,Security Type,Security Type Description,Current Yield,Modified Duration,Yield to Call,Yield to Maturity,Option Adjusted Duration,YTM At Book,YTM At Market
MILL TETF,687136LK5,ORONO MN INDEP SCH DIST #278,2.250% 02/01/2027 DD 08/04/16,0.02,2/1/27,"1,720,000.00","1,713,274.80","1,588,936.00","-124,338.80",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Orono Independent School District No 278,Orono Independent School District No 278,OROSCD,OTHER INVESTMENTS,MUNI - SCHOOL DISTRICT,,,,,,,,,,,,,,,2.00,M,MONTHLY,F,MUNI-BOND,1,MM,ICE - MUNICIPAL,CLOSE,B,BOND,2.44,,5.79,4.75,,0.00,0.00
MILL TETF,,DREYFUS TAX EXEMPT CASH FD 264,1.606% 12/31/2075 DD 04/09/97,0.04,12/31/75,"79,336,583.62","79,325,577.86","79,320,716.31","-4,861.55",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,MONTHLY,DREYFUS TAX EXEMPT CASH MGMT,DREYFUS TAX EXEMPT CASH MGMT,,REGISTERED INVESTMENT COMPANIES,SHORT TERM INVESTMENT FUNDS (US REGULATED),,,,,,,,,,,,,,,1.00,D,DAILY,F,MUT-FUND,5,T,IDSI,CLOSE,B,BOND,,,,,,0.00,0.00
MILL TETF,587839F22,MERCER CNTY NJ,2.000% 07/15/2026 DD 08/31/16,0.02,7/15/26,"3,820,000.00","3,777,368.80","3,519,709.80","-257,659.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,County of Mercer NJ,County of Mercer NJ,MER,OTHER INVESTMENTS,MUNI - GENERAL OBLIGATION,,,,AA+,,,,,,,,,,,2.00,M,MONTHLY,F,MUNI-BOND,1,MM,ICE - MUNICIPAL,CLOSE,B,BOND,2.17,,5.05,5.05,,0.00,0.00
MILL TETF,60411PBC4,MINNESOTA ST RURAL WTR FIN AUT,2.625% 12/01/2023 DD 06/30/22,0.03,12/1/23,"1,000,000.00","1,000,910.00","994,840.00","-6,070.00",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,Minnesota Rural Water Finance Authority Inc,Minnesota Rural Water Finance Authority Inc,MNSWTR,OTHER INVESTMENTS,MUNI - GENERAL,,,,,,,,,,,,,,,2.00,M,MONTHLY,F,MUNI-BOND,1,MM,ICE - MUNICIPAL,CLOSE,B,BOND,2.64,,8.92,5.62,,0.00,0.00
MILL TETF,280029EG0,EDGEFIELD CNTY SC SCH DIST,3.000% 03/01/2032 DD 08/21/19,0.03,3/1/32,"2,240,000.00","2,161,174.40","2,016,940.80","-144,233.60",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL LONG,Edgefield County School District,Edgefield County School District,EDGSCD,OTHER INVESTMENTS,MUNI - SCHOOL DISTRICT,,,,AA,,,,,,,,,,,2.00,M,MONTHLY,F,MUNI-BOND,2,MM,ICE - MUNICIPAL,CLOSE,B,BOND,3.34,,4.98,4.44,,0.00,0.00
MILL TETF,412487BW9,HARFORD CNTY MD,3.000% 03/15/2024 DD 03/27/14,0.03,3/15/24,"1,610,000.00","1,669,070.90","1,600,951.80","-68,119.10",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,County of Harford MD,County of Harford MD,HAR,OTHER INVESTMENTS,MUNI - GENERAL OBLIGATION,,,,AAA,,,,AAA,,,,,,,2.00,M,MONTHLY,F,MUNI-BOND,1,MM,ICE - MUNICIPAL,CLOSE,B,BOND,3.02,,4.24,4.24,,0.00,0.00
MILL TETF,679384ML8,OLATHE KS,2.000% 10/01/2029 DD 07/16/20,0.02,10/1/29,"930,000.00","851,935.80","798,516.60","-53,419.20",9/29/23,9/29/2023 10:34:22 PM,9/29/23,FIXED RATE,SEMI-ANNUAL,City of Olathe KS,City of Olathe KS,OLA,OTHER INVESTMENTS,MUNI - GENERAL OBLIGATION,,,,AA+,,,,,,,,,,,2.00,M,MONTHLY,F,MUNI-BOND,1,MM,ICE - MUNICIPAL,CLOSE,B,BOND,2.33,,5.26,4.74,,0.00,0.00
MILL TTF EQ-DIV,921946406,VANGUARD HIGH DVD YIELD ETF,,0.00,,"36,370.00","3,999,943.54","3,757,748.40","-242,195.14",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Vanguard Group Inc/The,Vanguard High Dividend Yield ETF,VYM,REGISTERED INVESTMENT COMPANIES,US EQUITY INDEX ETF (US REGULATED),,,,,,,,,,,,,,,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,717081103,PFIZER INC,,0.00,,"26,082.00","658,339.81","865,139.94","206,800.13",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Pfizer Inc,Pfizer Inc,PFE,CORPORATE STOCK - COMMON,PHARMACEUTICALS,A+,A+,A+,NR,A1,A1,A1,P-3,A,F1,A,F1,A,F1,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,842587107,SOUTHERN CO/THE,,0.00,,"26,082.00","1,168,556.64","1,688,027.04","519,470.40",9/29/23,9/29/2023 10:34:22 PM,9/29/23,,INTEREST AT MAT OR NO INTEREST,Southern Co/The,Southern Co/The,SO,CORPORATE STOCK - COMMON,ELECTRIC,BBB+,BBB+,BBB+,NR,Baa2,Baa2,Baa2,P-3,BBB+,F2,BBB+,F2,BBB+,F2,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
