Reporting Account Name,Cusip,Security Description1,Security Description2,Coupon Rate,Maturity Date,Shares,Base Cost,Base Market Value,Base Unrealized Gain/Loss,Holdings As Of Date,Acctg Status Update (CST),Price Date,Income Rate Type Desc,Payment Frequency Desc,Issuer Name,Base Issuer Name,Ticker,5500 Category Description,Asset Type Description,S&P Base LT Rating,S&P Parent LT Rating,S&P Ultimate LT Rating,S&P Quality Rating - Non GRS,Moody's Base LT Rating,Moody's Parent LT Rating,Moody's Ultimate LT Rating,Moody Quality Rating - Non GRS,Fitch Base LT Rating,Fitch Base ST Rating,Fitch Parent LT Rating,Fitch Parent ST Rating,Fitch Ultimate LT Rating,Fitch Ultimate ST Rating,Fair Value Hierarchy Level,Frequency Requirement,Frequency Requirement Desc,Income Rate Type,Issue Type Description,Payment Frequency,Price Source,Price Source Description,Price Type Description,Security Type,Security Type Description,Current Yield,Modified Duration,Yield to Call,Yield to Maturity,Option Adjusted Duration,YTM At Book,YTM At Market
MILL TETF,,DREYFUS TAX EXEMPT CASH FD 264,1.606% 12/31/2075 DD 04/09/97,0.04,12/31/75,"7,160,987.90","7,159,948.71","7,160,271.80",323.09,12/29/23,12/30/2023 1:14:58 AM,12/29/23,FIXED RATE,MONTHLY,DREYFUS TAX EXEMPT CASH MGMT,DREYFUS TAX EXEMPT CASH MGMT,,REGISTERED INVESTMENT COMPANIES,SHORT TERM INVESTMENT FUNDS (US REGULATED),,,,,,,,,,,,,,,1.00,D,DAILY,F,MUT-FUND,5,T,IDSI,CLOSE,B,BOND,,,,,,0.00,0.00
MILL TETF,996087094,BNY MELLON CASH RESERVE,0.100% 12/31/2049 DD 06/26/97,0.00,12/31/49,34.94,34.94,34.94,0.00,12/29/23,12/30/2023 1:14:58 AM,12/29/23,FIXED RATE,MONTHLY,BNY MELLON CASH RESERVE,BNY MELLON CASH RESERVE,,INTEREST-BEARING CASH,BSDT RESERVE DEPOSIT ACCOUNTS,,,,,,,,,,,,,,,2.00,O,NOT APPLICABLE,F,MUT-FUND,5,BV,BOOK VALUE,,B,BOND,5.34,,5.34,5.34,,0.00,0.00
MILL TTF EQ-DIV,478160104,JOHNSON & JOHNSON,,0.00,,"23,995.00","1,977,490.40","3,760,976.30","1,783,485.90",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Johnson & Johnson,Johnson & Johnson,JNJ,CORPORATE STOCK - COMMON,PHARMACEUTICALS,AAA,AAA,AAA,NR,Aaa,Aaa,Aaa,P-3,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,20825C104,CONOCOPHILLIPS,,0.00,,"23,995.00","1,280,978.23","2,785,099.65","1,504,121.42",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,ConocoPhillips,ConocoPhillips,COP,CORPORATE STOCK - COMMON,OIL & GAS,A-,A-,A-,NR,A2,A2,A2,NR,A,WD,A,WD,A,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,194162103,COLGATE-PALMOLIVE CO,,0.00,,"48,932.00","2,676,647.14","3,900,369.72","1,223,722.58",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Colgate-Palmolive Co,Colgate-Palmolive Co,CL,CORPORATE STOCK - COMMON,COSMETICS/PERSONAL CARE,AA-,AA-,AA-,NR,Aa3,Aa3,Aa3,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,580135101,MCDONALD'S CORP,,0.00,,"23,995.00","2,442,878.78","7,114,757.45","4,671,878.67",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,McDonald's Corp,McDonald's Corp,MCD,CORPORATE STOCK - COMMON,RETAIL,BBB+,BBB+,BBB+,NR,Baa1,Baa1,Baa1,,WD,NR,WD,NR,WD,NR,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,314211103,FEDERATED HERMES INC,,0.00,,"23,995.00","618,580.01","812,470.70","193,890.69",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Federated Hermes Inc,Federated Hermes Inc,FHI,CORPORATE STOCK - COMMON,DIVERSIFIED FINANCIAL SERVICES,,,,NR,,,,,,,,,,,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,58933Y105,MERCK & CO INC,,0.00,,"23,995.00","1,022,896.06","2,615,934.90","1,593,038.84",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Merck & Co Inc,Merck & Co Inc,MRK,CORPORATE STOCK - COMMON,PHARMACEUTICALS,A+,A+,A+,NR,A1,A1,A1,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,437076102,HOME DEPOT INC/THE,,0.00,,"23,995.00","1,856,064.25","8,315,467.25","6,459,403.00",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Home Depot Inc/The,Home Depot Inc/The,HD,CORPORATE STOCK - COMMON,RETAIL,A,A,A,NR,A2,A2,A2,P-3,A,F1,A,F1,A,F1,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
MILL TTF EQ-DIV,30231G102,EXXON MOBIL CORP,,0.00,,"23,995.00","2,042,294.16","2,399,020.10","356,725.94",12/29/23,12/30/2023 1:14:58 AM,12/29/23,,INTEREST AT MAT OR NO INTEREST,Exxon Mobil Corp,Exxon Mobil Corp,XOM,CORPORATE STOCK - COMMON,OIL & GAS,AA-,AA-,AA-,NR,Aa2,Aa2,Aa2,,WD,WD,WD,WD,WD,WD,1.00,D,DAILY,,COMMON,0,T,IDSI,CLOSE,S,,,,,,,0.00,0.00
